JEU,NOM,SCORE
Pendu,Julien,5000
Pendu,test,4985
Pendu,,4972
Pendu,Julien,1000
Pendu,Julien,750
motus,julien,4918
motus,julien,4800
motus,julien,4764
Motus,Paul,800
Motus,Paul,800
Sudoku chiffre,joueur,4989
Sudoku chiffre,Paul,800
Sudoku chiffre,Paul,800
Sudoku chiffre,Paul,800
Sudoku chiffre,Paul,800
Sudoku lettre,Paul,800
Sudoku lettre,Paul,800
Sudoku lettre,Paul,800
Sudoku lettre,Paul,800
Sudoku lettre,Paul,800
Mots meles,Julien,2500
Mots meles,Julien,2000
Mots meles,Julien,2000
Mots meles,Julien,1200
Mots meles,Julien,500
